<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.06.03	22:25:00	2346.29	2346.50	2345.60	2345.78	231	0	4
2024.06.03	22:30:00	2345.70	2346.10	2344.81	2345.21	279	0	4
2024.06.03	22:35:00	2345.22	2345.42	2344.71	2345.19	165	0	4
2024.06.03	22:40:00	2345.19	2346.48	2344.99	2346.08	193	0	4
2024.06.03	22:45:00	2345.97	2346.50	2345.88	2346.03	182	0	4
2024.06.03	22:50:00	2346.05	2346.76	2345.39	2346.72	266	0	4
2024.06.03	22:55:00	2346.74	2347.89	2346.19	2347.67	375	0	4
2024.06.03	23:00:00	2347.65	2348.17	2346.93	2348.17	256	0	4
2024.06.03	23:05:00	2348.17	2348.98	2348.15	2348.88	133	0	4
2024.06.03	23:10:00	2348.81	2348.98	2348.37	2348.48	27	0	4
2024.06.03	23:15:00	2348.37	2348.59	2348.26	2348.39	68	0	5
2024.06.03	23:20:00	2348.29	2348.99	2347.87	2348.78	132	0	5
2024.06.03	23:25:00	2348.87	2348.99	2348.58	2348.99	84	0	5
2024.06.03	23:30:00	2349.25	2349.58	2349.07	2349.58	69	0	5
2024.06.03	23:35:00	2349.61	2350.10	2349.60	2349.80	90	0	5
2024.06.03	23:40:00	2349.80	2350.78	2349.79	2349.88	145	0	5
2024.06.03	23:45:00	2349.78	2350.29	2349.78	2350.27	115	0	5
2024.06.03	23:50:00	2350.27	2351.00	2349.87	2350.89	146	0	4
2024.06.03	23:55:00	2350.90	2351.04	2350.36	2350.52	100	0	10
2024.06.04	01:00:00	2351.33	2352.03	2350.57	2351.28	308	0	6
2024.06.04	01:05:00	2351.27	2351.55	2350.33	2350.33	125	0	19
2024.06.04	01:10:00	2350.33	2351.21	2350.25	2351.16	122	0	8
2024.06.04	01:15:00	2351.06	2351.47	2350.76	2351.16	63	0	10
2024.06.04	01:20:00	2351.07	2351.07	2350.37	2350.54	75	0	10
2024.06.04	01:25:00	2350.54	2350.94	2350.24	2350.55	64	0	4
2024.06.04	01:30:00	2350.58	2350.95	2350.32	2350.44	77	0	4
2024.06.04	01:35:00	2350.44	2350.54	2350.21	2350.53	46	0	10
2024.06.04	01:40:00	2350.43	2350.54	2350.12	2350.54	52	0	10
2024.06.04	01:45:00	2350.53	2351.08	2350.18	2350.81	94	0	4
2024.06.04	01:50:00	2350.81	2350.94	2350.63	2350.84	28	0	8
2024.06.04	01:55:00	2350.83	2351.15	2350.73	2350.85	67	0	9
2024.06.04	02:00:00	2350.74	2350.75	2350.24	2350.25	46	0	10
2024.06.04	02:05:00	2350.28	2350.38	2349.96	2350.38	50	0	10
2024.06.04	02:10:00	2350.38	2350.78	2350.18	2350.78	91	0	7
2024.06.04	02:15:00	2350.70	2350.78	2350.37	2350.67	64	0	9
2024.06.04	02:20:00	2350.56	2351.22	2350.46	2350.87	89	0	4
2024.06.04	02:25:00	2350.88	2350.96	2350.57	2350.66	68	0	4
2024.06.04	02:30:00	2350.59	2350.68	2350.37	2350.56	59	0	10
2024.06.04	02:35:00	2350.62	2350.86	2350.55	2350.75	70	0	4
2024.06.04	02:40:00	2350.75	2350.85	2349.82	2350.23	198	0	4
2024.06.04	02:45:00	2350.23	2350.55	2349.91	2350.33	303	0	4
2024.06.04	02:50:00	2350.33	2351.00	2350.33	2350.91	104	0	4
2024.06.04	02:55:00	2350.91	2351.11	2350.49	2350.60	110	0	4
2024.06.04	03:00:00	2350.61	2351.42	2350.50	2351.32	298	0	7
2024.06.04	03:05:00	2351.32	2351.32	2350.24	2350.96	295	0	8
2024.06.04	03:10:00	2350.97	2351.05	2350.38	2350.96	147	0	4
2024.06.04	03:15:00	2351.03	2351.34	2350.66	2351.15	205	0	4
2024.06.04	03:20:00	2351.14	2352.05	2351.09	2351.59	393	0	7
2024.06.04	03:25:00	2351.47	2351.88	2350.66	2351.82	347	0	12
2024.06.04	03:30:00	2351.81	2352.81	2351.23	2352.11	533	0	4
2024.06.04	03:35:00	2352.14	2352.57	2352.00	2352.23	209	0	9
2024.06.04	03:40:00	2352.22	2352.52	2351.80	2352.16	342	0	11
2024.06.04	03:45:00	2352.17	2352.38	2351.47	2351.96	281	0	5
2024.06.04	03:50:00	2351.98	2351.98	2350.58	2350.69	369	0	10
2024.06.04	03:55:00	2350.69	2350.99	2350.18	2350.59	364	0	4
2024.06.04	04:00:00	2350.59	2352.30	2350.32	2351.10	1085	0	4
2024.06.04	04:05:00	2351.16	2351.66	2349.08	2349.39	757	0	4
2024.06.04	04:10:00	2349.39	2349.39	2348.28	2348.99	707	0	9
2024.06.04	04:15:00	2349.04	2349.10	2347.83	2348.88	766	0	10
2024.06.04	04:20:00	2348.86	2348.87	2347.17	2347.66	595	0	10
2024.06.04	04:25:00	2347.67	2347.93	2347.03	2347.47	500	0	11
2024.06.04	04:30:00	2347.47	2348.17	2347.05	2348.16	513	0	4
2024.06.04	04:35:00	2348.18	2348.34	2346.03	2346.25	656	0	4
2024.06.04	04:40:00	2346.28	2346.33	2343.19	2344.27	701	0	4
2024.06.04	04:45:00	2344.31	2344.94	2343.39	2344.73	572	0	6
2024.06.04	04:50:00	2344.71	2347.33	2344.58	2346.76	700	0	4
2024.06.04	04:55:00	2346.79	2347.52	2346.02	2347.07	725	0	4
2024.06.04	05:00:00	2347.07	2347.49	2346.23	2346.94	549	0	4
